amount,status_code,error_count,request_count,response_time_ms,transactions_last_1min,avg_amount_last_5min,failure_rate,hour_of_day,is_anomaly
2500000.0,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,0
2500.0,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
152255.7,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
6441844.0,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
21361.54,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
1149528.09,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
31846.92,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
1406950.95,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
1555.27,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
1784.03,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
24713.66,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
36468.03,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
16976.88,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2599.83,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2466059.18,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
28181.28,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
941.14,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
51532.13,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
33500.39,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2029204.0,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
1607.99,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
26279.02,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
925.11,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2527032.89,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
2543437.08,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
22391.12,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
11633.8,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
3126.09,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2428721.63,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
21723.4,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
1560924.29,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
7477.63,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
1353175.87,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
1623068.01,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
3906.39,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2942.66,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2524.37,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
92952.12,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2412003.24,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
1149.63,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
3285.54,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
2314.52,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
48183.7,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
1083.19,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
28588.24,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
1579240.63,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
1746.02,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2661485.3,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
1230866.57,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
85582.44,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
23463.21,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
18542.27,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
823.9,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
718.91,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
3318699.26,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
43251.68,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
47005.4,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2095.45,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
28336.39,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
1098880.47,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
20063.38,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
1254.54,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
890.89,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
1235.09,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
21433.07,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
29951.46,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
19274.29,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
50868.32,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
1388.43,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
2097.96,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
860051.67,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
31658.93,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
26397.07,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
1466.83,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
10657.96,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2139.01,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
1258.79,0,3,50,800,25,528037.5822263868,0.2571214392803598,12,1
1547.91,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
8171.17,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
2717546.23,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,1
1355.32,1,0,15,120,5,528037.5822263868,0.2571214392803598,12,0
